Cat	Countries	Dimension	value
Workers	Belgium	Family_environment	0.453
Workers	Canada	Family_environment	0.572
Workers	Switzerland	Family_environment	0.619
Workers	Chile	Family_environment	0.518
Workers	Czech Republic	Family_environment	0.487
Workers	Germany	Family_environment	0.620
Workers	Denmark	Family_environment	0.580
Workers	Spain	Family_environment	0.661
Workers	Estonia	Family_environment	0.638
Workers	Finland	Family_environment	0.549
Workers	France	Family_environment	0.676
Workers	United Kingdom	Family_environment	0.731
Workers	Greece	Family_environment	0.603
Workers	Hungary	Family_environment	0.459
Workers	Ireland	Family_environment	0.574
Workers	Iceland	Family_environment	0.544
Workers	Israel	Family_environment	0.439
Workers	Italy	Family_environment	0.534
Workers	Japan	Family_environment	0.398
Workers	Korea	Family_environment	0.507
Workers	Luxembourg	Family_environment	0.496
Workers	Latvia	Family_environment	0.379
Workers	Mexico	Family_environment	0.500
Workers	Netherlands	Family_environment	0.703
Workers	Norway	Family_environment	0.660
Workers	New Zealand	Family_environment	0.670
Workers	Poland	Family_environment	0.433
Workers	Portugal	Family_environment	0.613
Workers	Slovak Republic	Family_environment	0.632
Workers	Slovenia	Family_environment	0.580
Workers	Sweden	Family_environment	0.735
Workers	Türkiye	Family_environment	0.374
Workers	United States	Family_environment	0.616
Workers	Australia	Skills_environment	0.556
Workers	Austria	Skills_environment	0.519
Workers	Belgium	Skills_environment	0.474
Workers	Canada	Skills_environment	0.538
Workers	Switzerland	Skills_environment	0.547
Workers	Chile	Skills_environment	0.175
Workers	Czech Republic	Skills_environment	0.426
Workers	Germany	Skills_environment	0.627
Workers	Denmark	Skills_environment	0.595
Workers	Spain	Skills_environment	0.332
Workers	Estonia	Skills_environment	0.430
Workers	Finland	Skills_environment	0.586
Workers	France	Skills_environment	0.445
Workers	United Kingdom	Skills_environment	0.585
Workers	Greece	Skills_environment	0.269
Workers	Hungary	Skills_environment	0.376
Workers	Ireland	Skills_environment	0.521
Workers	Iceland	Skills_environment	0.559
Workers	Israel	Skills_environment	0.548
Workers	Italy	Skills_environment	0.338
Workers	Japan	Skills_environment	0.628
Workers	Korea	Skills_environment	0.697
Workers	Luxembourg	Skills_environment	0.503
Workers	Latvia	Skills_environment	0.328
Workers	Mexico	Skills_environment	0.062
Workers	Netherlands	Skills_environment	0.558
Workers	Norway	Skills_environment	0.545
Workers	New Zealand	Skills_environment	0.479
Workers	Poland	Skills_environment	0.353
Workers	Portugal	Skills_environment	0.348
Workers	Slovak Republic	Skills_environment	0.377
Workers	Slovenia	Skills_environment	0.437
Workers	Sweden	Skills_environment	0.617
Workers	Türkiye	Skills_environment	0.178
Workers	United States	Skills_environment	0.764
Workers	Australia	Inclusiveness	0.695
Workers	Austria	Inclusiveness	0.579
Workers	Belgium	Inclusiveness	0.487
Workers	Canada	Inclusiveness	0.604
Workers	Switzerland	Inclusiveness	0.773
Workers	Chile	Inclusiveness	0.357
Workers	Czech Republic	Inclusiveness	0.304
Workers	Germany	Inclusiveness	0.562
Workers	Denmark	Inclusiveness	0.588
Workers	Spain	Inclusiveness	0.374
Workers	Estonia	Inclusiveness	0.560
Workers	Finland	Inclusiveness	0.526
Workers	France	Inclusiveness	0.436
Workers	United Kingdom	Inclusiveness	0.384
Workers	Greece	Inclusiveness	0.129
Workers	Hungary	Inclusiveness	0.226
Workers	Ireland	Inclusiveness	0.587
Workers	Iceland	Inclusiveness	0.516
Workers	Israel	Inclusiveness	0.207
Workers	Italy	Inclusiveness	0.333
Workers	Japan	Inclusiveness	0.556
Workers	Korea	Inclusiveness	0.484
Workers	Luxembourg	Inclusiveness	0.716
Workers	Latvia	Inclusiveness	0.413
Workers	Mexico	Inclusiveness	0.128
Workers	Netherlands	Inclusiveness	0.491
Workers	Norway	Inclusiveness	0.543
Workers	New Zealand	Inclusiveness	0.668
Workers	Poland	Inclusiveness	0.421
Workers	Portugal	Inclusiveness	0.424
Workers	Slovak Republic	Inclusiveness	0.336
Workers	Slovenia	Inclusiveness	0.451
Workers	Sweden	Inclusiveness	0.627
Workers	Türkiye	Inclusiveness	0.281
Workers	United States	Inclusiveness	0.480
Workers	Australia	Quality_of_life	0.764
Workers	Austria	Quality_of_life	0.661
Workers	Belgium	Quality_of_life	0.689
Workers	Canada	Quality_of_life	0.756
Workers	Switzerland	Quality_of_life	0.762
Workers	Chile	Quality_of_life	0.417
Workers	Czech Republic	Quality_of_life	0.562
Workers	Germany	Quality_of_life	0.709
Workers	Denmark	Quality_of_life	0.758
Workers	Spain	Quality_of_life	0.563
Workers	Estonia	Quality_of_life	0.547
Workers	Finland	Quality_of_life	0.727
Workers	France	Quality_of_life	0.631
Workers	United Kingdom	Quality_of_life	0.667
Workers	Greece	Quality_of_life	0.364
Workers	Hungary	Quality_of_life	0.431
Workers	Ireland	Quality_of_life	0.674
Workers	Iceland	Quality_of_life	0.742
Workers	Israel	Quality_of_life	0.535
Workers	Italy	Quality_of_life	0.500
Workers	Japan	Quality_of_life	0.577
Workers	Korea	Quality_of_life	0.517
Workers	Luxembourg	Quality_of_life	0.699
Workers	Latvia	Quality_of_life	0.410
Workers	Mexico	Quality_of_life	0.281
Workers	Netherlands	Quality_of_life	0.739
Workers	Norway	Quality_of_life	0.788
Workers	New Zealand	Quality_of_life	0.689
Workers	Poland	Quality_of_life	0.494
Workers	Portugal	Quality_of_life	0.479
Workers	Slovak Republic	Quality_of_life	0.476
Workers	Slovenia	Quality_of_life	0.607
Workers	Sweden	Quality_of_life	0.752
Workers	Türkiye	Quality_of_life	0.314
Workers	United States	Quality_of_life	0.746
Workers	Australia	Quality_of_opportunities_Quartiles	2
Workers	Austria	Quality_of_opportunities_Quartiles	2
Workers	Belgium	Quality_of_opportunities_Quartiles	3
Workers	Canada	Quality_of_opportunities_Quartiles	3
Workers	Switzerland	Quality_of_opportunities_Quartiles	2
Workers	Chile	Quality_of_opportunities_Quartiles	4
Workers	Czech Republic	Quality_of_opportunities_Quartiles	2
Workers	Germany	Quality_of_opportunities_Quartiles	3
Workers	Denmark	Quality_of_opportunities_Quartiles	1
Workers	Spain	Quality_of_opportunities_Quartiles	3
Workers	Estonia	Quality_of_opportunities_Quartiles	1
Workers	Finland	Quality_of_opportunities_Quartiles	1
Workers	France	Quality_of_opportunities_Quartiles	4
Workers	United Kingdom	Quality_of_opportunities_Quartiles	3
Workers	Greece	Quality_of_opportunities_Quartiles	3
Workers	Hungary	Quality_of_opportunities_Quartiles	1
Workers	Ireland	Quality_of_opportunities_Quartiles	1
Workers	Iceland	Quality_of_opportunities_Quartiles	1
Workers	Israel	Quality_of_opportunities_Quartiles	1
Workers	Italy	Quality_of_opportunities_Quartiles	4
Workers	Japan	Quality_of_opportunities_Quartiles	4
Workers	Korea	Quality_of_opportunities_Quartiles	2
Workers	Luxembourg	Quality_of_opportunities_Quartiles	1
Workers	Latvia	Quality_of_opportunities_Quartiles	3
Workers	Mexico	Quality_of_opportunities_Quartiles	2
Workers	Netherlands	Quality_of_opportunities_Quartiles	2
Workers	Norway	Quality_of_opportunities_Quartiles	3
Workers	New Zealand	Quality_of_opportunities_Quartiles	4
Workers	Poland	Quality_of_opportunities_Quartiles	4
Workers	Portugal	Quality_of_opportunities_Quartiles	1
Workers	Slovak Republic	Quality_of_opportunities_Quartiles	2
Workers	Slovenia	Quality_of_opportunities_Quartiles	2
Workers	Sweden	Quality_of_opportunities_Quartiles	4
Workers	Türkiye	Quality_of_opportunities_Quartiles	3
Workers	United States	Quality_of_opportunities_Quartiles	4
Workers	Australia	Income_Quartiles	3
Workers	Austria	Income_Quartiles	2
Workers	Belgium	Income_Quartiles	1
Workers	Canada	Income_Quartiles	3
Workers	Switzerland	Income_Quartiles	4
Workers	Chile	Income_Quartiles	3
Workers	Czech Republic	Income_Quartiles	3
Workers	Germany	Income_Quartiles	2
Workers	Denmark	Income_Quartiles	2
Workers	Spain	Income_Quartiles	1
Workers	Estonia	Income_Quartiles	2
Workers	Finland	Income_Quartiles	1
Workers	France	Income_Quartiles	2
Workers	United Kingdom	Income_Quartiles	3
Workers	Greece	Income_Quartiles	3
Workers	Hungary	Income_Quartiles	3
Workers	Ireland	Income_Quartiles	1
Workers	Iceland	Income_Quartiles	4
Workers	Israel	Income_Quartiles	4
Workers	Italy	Income_Quartiles	1
Workers	Japan	Income_Quartiles	1
Workers	Korea	Income_Quartiles	4
Workers	Luxembourg	Income_Quartiles	3
Workers	Latvia	Income_Quartiles	4
Workers	Mexico	Income_Quartiles	2
Workers	Netherlands	Income_Quartiles	4
Workers	Norway	Income_Quartiles	1
Workers	New Zealand	Income_Quartiles	2
Workers	Poland	Income_Quartiles	2
Workers	Portugal	Income_Quartiles	1
Workers	Slovak Republic	Income_Quartiles	1
Workers	Slovenia	Income_Quartiles	4
Workers	Sweden	Income_Quartiles	3
Workers	Türkiye	Income_Quartiles	2
Workers	United States	Income_Quartiles	4
Workers	Australia	Future_prospects_Quartiles	4
Workers	Austria	Future_prospects_Quartiles	2
Workers	Belgium	Future_prospects_Quartiles	3
Workers	Canada	Future_prospects_Quartiles	4
Workers	Switzerland	Future_prospects_Quartiles	1
Workers	Chile	Future_prospects_Quartiles	2
Workers	Czech Republic	Future_prospects_Quartiles	1
Workers	Germany	Future_prospects_Quartiles	2
Workers	Denmark	Future_prospects_Quartiles	2
Workers	Spain	Future_prospects_Quartiles	3
Workers	Estonia	Future_prospects_Quartiles	3
Workers	Finland	Future_prospects_Quartiles	3
Workers	France	Future_prospects_Quartiles	2
Workers	United Kingdom	Future_prospects_Quartiles	1
Workers	Greece	Future_prospects_Quartiles	4
Workers	Hungary	Future_prospects_Quartiles	1
Workers	Ireland	Future_prospects_Quartiles	3
Workers	Iceland	Future_prospects_Quartiles	3
Workers	Israel	Future_prospects_Quartiles	2
Workers	Italy	Future_prospects_Quartiles	2
Workers	Japan	Future_prospects_Quartiles	1
Workers	Korea	Future_prospects_Quartiles	2
Workers	Luxembourg	Future_prospects_Quartiles	4
Workers	Latvia	Future_prospects_Quartiles	4
Workers	Mexico	Future_prospects_Quartiles	3
Workers	Netherlands	Future_prospects_Quartiles	1
Workers	Norway	Future_prospects_Quartiles	4
Workers	New Zealand	Future_prospects_Quartiles	3
Workers	Poland	Future_prospects_Quartiles	4
Workers	Portugal	Future_prospects_Quartiles	4
Workers	Slovak Republic	Future_prospects_Quartiles	3
Workers	Slovenia	Future_prospects_Quartiles	1
Workers	Sweden	Future_prospects_Quartiles	1
Workers	Türkiye	Future_prospects_Quartiles	2
Workers	United States	Future_prospects_Quartiles	1
Workers	Australia	Family_environment_Quartiles	3
Workers	Austria	Family_environment_Quartiles	4
Workers	Belgium	Family_environment_Quartiles	1
Workers	Canada	Family_environment_Quartiles	2
Workers	Switzerland	Family_environment_Quartiles	2
Workers	Chile	Family_environment_Quartiles	1
Workers	Czech Republic	Family_environment_Quartiles	3
Workers	Germany	Family_environment_Quartiles	3
Workers	Denmark	Family_environment_Quartiles	2
Workers	Spain	Family_environment_Quartiles	4
Workers	Estonia	Family_environment_Quartiles	3
Workers	Finland	Family_environment_Quartiles	3
Workers	France	Family_environment_Quartiles	1
Workers	United Kingdom	Family_environment_Quartiles	2
Workers	Greece	Family_environment_Quartiles	2
Workers	Hungary	Family_environment_Quartiles	1
Workers	Ireland	Family_environment_Quartiles	2
Workers	Iceland	Family_environment_Quartiles	1
Workers	Israel	Family_environment_Quartiles	2
Workers	Italy	Family_environment_Quartiles	1
Workers	Japan	Family_environment_Quartiles	1
Workers	Korea	Family_environment_Quartiles	2
Workers	Luxembourg	Family_environment_Quartiles	4
Workers	Latvia	Family_environment_Quartiles	4
Workers	Mexico	Family_environment_Quartiles	4
Workers	Netherlands	Family_environment_Quartiles	1
Workers	Norway	Family_environment_Quartiles	3
Workers	New Zealand	Family_environment_Quartiles	3
Workers	Poland	Family_environment_Quartiles	2
Workers	Portugal	Family_environment_Quartiles	4
Workers	Slovak Republic	Family_environment_Quartiles	4
Workers	Slovenia	Family_environment_Quartiles	3
Workers	Sweden	Family_environment_Quartiles	1
Workers	Türkiye	Family_environment_Quartiles	4
Workers	United States	Family_environment_Quartiles	3
Workers	Australia	Skills_environment_Quartiles	3
Workers	Austria	Skills_environment_Quartiles	3
Workers	Belgium	Skills_environment_Quartiles	2
Workers	Canada	Skills_environment_Quartiles	3
Workers	Switzerland	Skills_environment_Quartiles	1
Workers	Chile	Skills_environment_Quartiles	2
Workers	Czech Republic	Skills_environment_Quartiles	4
Workers	Germany	Skills_environment_Quartiles	2
Workers	Denmark	Skills_environment_Quartiles	4
Workers	Spain	Skills_environment_Quartiles	2
Workers	Estonia	Skills_environment_Quartiles	4
Workers	Finland	Skills_environment_Quartiles	1
Workers	France	Skills_environment_Quartiles	2
Workers	United Kingdom	Skills_environment_Quartiles	3
Workers	Greece	Skills_environment_Quartiles	3
Workers	Hungary	Skills_environment_Quartiles	3
Workers	Ireland	Skills_environment_Quartiles	1
Workers	Iceland	Skills_environment_Quartiles	4
Workers	Israel	Skills_environment_Quartiles	4
Workers	Italy	Skills_environment_Quartiles	1
Workers	Japan	Skills_environment_Quartiles	2
Workers	Korea	Skills_environment_Quartiles	1
Workers	Luxembourg	Skills_environment_Quartiles	3
Workers	Latvia	Skills_environment_Quartiles	2
Workers	Mexico	Skills_environment_Quartiles	3
Workers	Netherlands	Skills_environment_Quartiles	1
Workers	Norway	Skills_environment_Quartiles	1
Workers	New Zealand	Skills_environment_Quartiles	2
Workers	Poland	Skills_environment_Quartiles	2
Workers	Portugal	Skills_environment_Quartiles	1
Workers	Slovak Republic	Skills_environment_Quartiles	4
Workers	Slovenia	Skills_environment_Quartiles	3
Workers	Sweden	Skills_environment_Quartiles	1
Workers	Türkiye	Skills_environment_Quartiles	4
Workers	United States	Skills_environment_Quartiles	4
Workers	Australia	Inclusiveness_Quartiles	4
Workers	Austria	Inclusiveness_Quartiles	3
Workers	Belgium	Inclusiveness_Quartiles	3
Workers	Canada	Inclusiveness_Quartiles	4
Workers	Switzerland	Inclusiveness_Quartiles	1
Workers	Chile	Inclusiveness_Quartiles	1
Workers	Czech Republic	Inclusiveness_Quartiles	4
Workers	Germany	Inclusiveness_Quartiles	3
Workers	Denmark	Inclusiveness_Quartiles	3
Workers	Spain	Inclusiveness_Quartiles	2
Workers	Estonia	Inclusiveness_Quartiles	3
Workers	Finland	Inclusiveness_Quartiles	1
Workers	France	Inclusiveness_Quartiles	1
Workers	United Kingdom	Inclusiveness_Quartiles	3
Workers	Greece	Inclusiveness_Quartiles	4
Workers	Hungary	Inclusiveness_Quartiles	1
Workers	Ireland	Inclusiveness_Quartiles	1
Workers	Iceland	Inclusiveness_Quartiles	3
Workers	Israel	Inclusiveness_Quartiles	2
Workers	Italy	Inclusiveness_Quartiles	2
Workers	Japan	Inclusiveness_Quartiles	4
Workers	Korea	Inclusiveness_Quartiles	1
Workers	Luxembourg	Inclusiveness_Quartiles	3
Workers	Latvia	Inclusiveness_Quartiles	4
Workers	Mexico	Inclusiveness_Quartiles	3
Workers	Netherlands	Inclusiveness_Quartiles	2
Workers	Norway	Inclusiveness_Quartiles	2
Workers	New Zealand	Inclusiveness_Quartiles	1
Workers	Poland	Inclusiveness_Quartiles	2
Workers	Portugal	Inclusiveness_Quartiles	2
Workers	Slovak Republic	Inclusiveness_Quartiles	4
Workers	Slovenia	Inclusiveness_Quartiles	4
Workers	Sweden	Inclusiveness_Quartiles	1
Workers	Türkiye	Inclusiveness_Quartiles	2
Workers	United States	Inclusiveness_Quartiles	2
Workers	Australia	Quality_of_life_Quartiles	4
Workers	Austria	Quality_of_life_Quartiles	3
Workers	Belgium	Quality_of_life_Quartiles	3
Workers	Canada	Quality_of_life_Quartiles	4
Workers	Switzerland	Quality_of_life_Quartiles	1
Workers	Chile	Quality_of_life_Quartiles	2
Workers	Czech Republic	Quality_of_life_Quartiles	4
Workers	Germany	Quality_of_life_Quartiles	2
Workers	Denmark	Quality_of_life_Quartiles	3
Workers	Spain	Quality_of_life_Quartiles	2
Workers	Estonia	Quality_of_life_Quartiles	3
Workers	Finland	Quality_of_life_Quartiles	1
Workers	France	Quality_of_life_Quartiles	1
Workers	United Kingdom	Quality_of_life_Quartiles	4
Workers	Greece	Quality_of_life_Quartiles	3
Workers	Hungary	Quality_of_life_Quartiles	2
Workers	Ireland	Quality_of_life_Quartiles	2
Workers	Iceland	Quality_of_life_Quartiles	2
Workers	Israel	Quality_of_life_Quartiles	2
Workers	Italy	Quality_of_life_Quartiles	1
Workers	Japan	Quality_of_life_Quartiles	3
Workers	Korea	Quality_of_life_Quartiles	1
Workers	Luxembourg	Quality_of_life_Quartiles	3
Workers	Latvia	Quality_of_life_Quartiles	3
Workers	Mexico	Quality_of_life_Quartiles	4
Workers	Netherlands	Quality_of_life_Quartiles	1
Workers	Norway	Quality_of_life_Quartiles	1
Workers	New Zealand	Quality_of_life_Quartiles	1
Workers	Poland	Quality_of_life_Quartiles	2
Workers	Portugal	Quality_of_life_Quartiles	2
Workers	Slovak Republic	Quality_of_life_Quartiles	4
Workers	Slovenia	Quality_of_life_Quartiles	4
Workers	Sweden	Quality_of_life_Quartiles	1
Workers	Türkiye	Quality_of_life_Quartiles	3
Workers	United States	Quality_of_life_Quartiles	4
Entrepreneurs	Australia	Quality_of_opportunities	0.364
Entrepreneurs	Austria	Quality_of_opportunities	0.309
Entrepreneurs	Belgium	Quality_of_opportunities	0.228
Entrepreneurs	Canada	Quality_of_opportunities	0.443
Entrepreneurs	Switzerland	Quality_of_opportunities	0.311
Entrepreneurs	Chile	Quality_of_opportunities	0.318
Entrepreneurs	Czech Republic	Quality_of_opportunities	0.401
Entrepreneurs	Germany	Quality_of_opportunities	0.446
Entrepreneurs	Denmark	Quality_of_opportunities	0.367
Entrepreneurs	Spain	Quality_of_opportunities	0.242
Entrepreneurs	Estonia	Quality_of_opportunities	0.267
Entrepreneurs	Finland	Quality_of_opportunities	0.229
Entrepreneurs	France	Quality_of_opportunities	0.347
Entrepreneurs	United Kingdom	Quality_of_opportunities	0.360
Entrepreneurs	Greece	Quality_of_opportunities	0.493
Entrepreneurs	Hungary	Quality_of_opportunities	0.367
Entrepreneurs	Ireland	Quality_of_opportunities	0.156
Entrepreneurs	Iceland	Quality_of_opportunities	0.298
Entrepreneurs	Israel	Quality_of_opportunities	0.524
Entrepreneurs	Italy	Quality_of_opportunities	0.340
Entrepreneurs	Japan	Quality_of_opportunities	0.226
Entrepreneurs	Korea	Quality_of_opportunities	0.515
Entrepreneurs	Luxembourg	Quality_of_opportunities	0.141
Entrepreneurs	Latvia	Quality_of_opportunities	0.642
Entrepreneurs	Mexico	Quality_of_opportunities	0.385
Entrepreneurs	Netherlands	Quality_of_opportunities	0.346
Entrepreneurs	Norway	Quality_of_opportunities	0.265
Entrepreneurs	New Zealand	Quality_of_opportunities	0.283
Entrepreneurs	Poland	Quality_of_opportunities	0.378
Entrepreneurs	Portugal	Quality_of_opportunities	0.370
Entrepreneurs	Slovak Republic	Quality_of_opportunities	0.356
Entrepreneurs	Slovenia	Quality_of_opportunities	0.356
Entrepreneurs	Sweden	Quality_of_opportunities	0.418
Entrepreneurs	Türkiye	Quality_of_opportunities	0.394
Entrepreneurs	United States	Quality_of_opportunities	0.555
Entrepreneurs	Australia	Income	0.410
Entrepreneurs	Austria	Income	0.470
Entrepreneurs	Belgium	Income	0.351
Entrepreneurs	Canada	Income	0.574
Entrepreneurs	Switzerland	Income	0.545
Entrepreneurs	Chile	Income	0.564
Entrepreneurs	Czech Republic	Income	0.498
Entrepreneurs	Germany	Income	0.490
Entrepreneurs	Denmark	Income	0.489
Entrepreneurs	Spain	Income	0.343
Entrepreneurs	Estonia	Income	0.600
Entrepreneurs	Finland	Income	0.344
Entrepreneurs	France	Income	0.698
Entrepreneurs	United Kingdom	Income	0.510
Entrepreneurs	Greece	Income	0.618
Entrepreneurs	Hungary	Income	0.415
Entrepreneurs	Ireland	Income	0.415
Entrepreneurs	Iceland	Income	0.522
Entrepreneurs	Israel	Income	0.480
Entrepreneurs	Italy	Income	0.542
Entrepreneurs	Japan	Income	0.439
Entrepreneurs	Korea	Income	0.396
Entrepreneurs	Luxembourg	Income	0.453
Entrepreneurs	Latvia	Income	0.385
Entrepreneurs	Mexico	Income	0.467
Entrepreneurs	Netherlands	Income	0.565
Entrepreneurs	Norway	Income	0.376
Entrepreneurs	New Zealand	Income	0.506
Entrepreneurs	Poland	Income	0.536
Entrepreneurs	Portugal	Income	0.402
Entrepreneurs	Slovak Republic	Income	0.404
Entrepreneurs	Slovenia	Income	0.679
Entrepreneurs	Sweden	Income	0.529
Entrepreneurs	Türkiye	Income	0.471
Entrepreneurs	United States	Income	0.452
Entrepreneurs	Australia	Future_prospects	0.689
Entrepreneurs	Austria	Future_prospects	0.572
Entrepreneurs	Belgium	Future_prospects	0.652
Entrepreneurs	Canada	Future_prospects	0.750
Entrepreneurs	Switzerland	Future_prospects	0.514
Entrepreneurs	Chile	Future_prospects	0.543
Entrepreneurs	Czech Republic	Future_prospects	0.389
Entrepreneurs	Germany	Future_prospects	0.536
Entrepreneurs	Denmark	Future_prospects	0.584
Entrepreneurs	Spain	Future_prospects	0.604
Entrepreneurs	Estonia	Future_prospects	0.601
Entrepreneurs	Finland	Future_prospects	0.641
Entrepreneurs	France	Future_prospects	0.594
Entrepreneurs	United Kingdom	Future_prospects	0.502
Entrepreneurs	Greece	Future_prospects	0.742
Entrepreneurs	Hungary	Future_prospects	0.418
Entrepreneurs	Ireland	Future_prospects	0.637
Entrepreneurs	Iceland	Future_prospects	0.624
Entrepreneurs	Israel	Future_prospects	0.560
Entrepreneurs	Italy	Future_prospects	0.517
Entrepreneurs	Japan	Future_prospects	0.434
Entrepreneurs	Korea	Future_prospects	0.544
Entrepreneurs	Luxembourg	Future_prospects	0.656
Entrepreneurs	Latvia	Future_prospects	0.702
Entrepreneurs	Mexico	Future_prospects	0.599
Entrepreneurs	Netherlands	Future_prospects	0.432
Entrepreneurs	Norway	Future_prospects	0.789
Entrepreneurs	New Zealand	Future_prospects	0.649
Entrepreneurs	Poland	Future_prospects	0.746
Entrepreneurs	Portugal	Future_prospects	0.705
Entrepreneurs	Slovak Republic	Future_prospects	0.652
Entrepreneurs	Slovenia	Future_prospects	0.428
Entrepreneurs	Sweden	Future_prospects	0.145
Entrepreneurs	Türkiye	Future_prospects	0.594
Entrepreneurs	United States	Future_prospects	0.507
Entrepreneurs	Australia	Family_environment	0.647
Entrepreneurs	Austria	Family_environment	0.680
Entrepreneurs	Belgium	Family_environment	0.453
Entrepreneurs	Canada	Family_environment	0.572
Entrepreneurs	Switzerland	Family_environment	0.518
Entrepreneurs	Chile	Family_environment	0.487
Entrepreneurs	Czech Republic	Family_environment	0.580
Entrepreneurs	Germany	Family_environment	0.638
Entrepreneurs	Denmark	Family_environment	0.549
Entrepreneurs	Spain	Family_environment	0.676
Entrepreneurs	Estonia	Family_environment	0.620
Entrepreneurs	Finland	Family_environment	0.603
Entrepreneurs	France	Family_environment	0.459
Entrepreneurs	United Kingdom	Family_environment	0.544
Entrepreneurs	Greece	Family_environment	0.574
Entrepreneurs	Hungary	Family_environment	0.439
Entrepreneurs	Ireland	Family_environment	0.534
Entrepreneurs	Iceland	Family_environment	0.398
Entrepreneurs	Israel	Family_environment	0.507
Entrepreneurs	Italy	Family_environment	0.379
Entrepreneurs	Japan	Family_environment	0.413
Entrepreneurs	Korea	Family_environment	0.500
Entrepreneurs	Luxembourg	Family_environment	0.703
Entrepreneurs	Latvia	Family_environment	0.670
